,Date,Ratings,Titles,Reviews,cleaned_Reviews,Reviews_Token,Reviews_Lemm
0,17-Apr-21,VERY NEGATIVE,Tried to order takeaway pizza,pretty empty lots staff tried order takeaway pizza directed qr code sign order would open link stepped inside advised could take order except qr code patheticmore,pretti empti lot staff tri order takeaway pizza direct qr code sign order would open link step insid advis could take order except qr code patheticmor,"['pretty', 'empty', 'lots', 'staff', 'tried', 'order', 'takeaway', 'pizza', 'directed', 'qr', 'code', 'sign', 'order', 'would', 'open', 'link', 'stepped', 'inside', 'advised', 'could', 'take', 'order', 'except', 'qr', 'code', 'patheticmore']","['pretty', 'empty', 'lots', 'staff', 'try', 'order', 'takeaway', 'pizza', 'direct', 'qr', 'code', 'sign', 'order', 'would', 'open', 'link', 'step', 'inside', 'advise', 'could', 'take', 'order', 'except', 'qr', 'code', 'patheticmore']"
1,9-Jan-21,POSITIVE,Nice break for lunch!,stopped lunch visiting tower bridge best branch vapiano disappointed nice food beverage fast service nice decor sittings place busy visit change enjoy food break,stop lunch visit tower bridg best branch vapiano disappoint nice food beverag fast servic nice decor sit place busi visit chang enjoy food break,"['stopped', 'lunch', 'visiting', 'tower', 'bridge', 'best', 'branch', 'vapiano', 'disappointed', 'nice', 'food', 'beverage', 'fast', 'service', 'nice', 'decor', 'sittings', 'place', 'busy', 'visit', 'change', 'enjoy', 'food', 'break']","['stop', 'lunch', 'visit', 'tower', 'bridge', 'best', 'branch', 'vapiano', 'disappointed', 'nice', 'food', 'beverage', 'fast', 'service', 'nice', 'decor', 'sitting', 'place', 'busy', 'visit', 'change', 'enjoy', 'food', 'break']"
2,14-Oct-20,VERY NEGATIVE,Very disappointing,track trace laborius line ordering system made possible helpful victoria know market german owned italian chain aiming certainly well travelled savvy londoners fresh pasta let dreadful bland sauces order arrabiata think tick add extra chilli tastes something order bolognese sauce addition italian hard cheese parmesan expect cheese sauce made dish inedible wines italian service added dreadful uncomfortable stool seating,track trace laboriu line order system made possibl help victoria know market german own italian chain aim certainli well travel savvi london fresh pasta let dread bland sauc order arrabiata think tick add extra chilli tast someth order bolognes sauc addit italian hard chees parmesan expect chees sauc made dish ined wine italian servic ad dread uncomfort stool seat,"['track', 'trace', 'laborius', 'line', 'ordering', 'system', 'made', 'possible', 'helpful', 'victoria', 'know', 'market', 'german', 'owned', 'italian', 'chain', 'aiming', 'certainly', 'well', 'travelled', 'savvy', 'londoners', 'fresh', 'pasta', 'let', 'dreadful', 'bland', 'sauces', 'order', 'arrabiata', 'think', 'tick', 'add', 'extra', 'chilli', 'tastes', 'something', 'order', 'bolognese', 'sauce', 'addition', 'italian', 'hard', 'cheese', 'parmesan', 'expect', 'cheese', 'sauce', 'made', 'dish', 'inedible', 'wines', 'italian', 'service', 'added', 'dreadful', 'uncomfortable', 'stool', 'seating']","['track', 'trace', 'laborius', 'line', 'order', 'system', 'make', 'possible', 'helpful', 'victoria', 'know', 'market', 'german', 'own', 'italian', 'chain', 'aim', 'certainly', 'well', 'travel', 'savvy', 'londoner', 'fresh', 'pasta', 'let', 'dreadful', 'bland', 'sauce', 'order', 'arrabiata', 'think', 'tick', 'add', 'extra', 'chilli', 'taste', 'something', 'order', 'bolognese', 'sauce', 'addition', 'italian', 'hard', 'cheese', 'parmesan', 'expect', 'cheese', 'sauce', 'make', 'dish', 'inedible', 'wine', 'italian', 'service', 'add', 'dreadful', 'uncomfortable', 'stool', 'seating']"
3,10-Oct-20,VERY POSITIVE,Good family night out ,love going vapiano two young children toddler infant huge tables plenty space park buggy lots clean well designed baby high chairs staff mostly young show enthusiasm want help order took particularly long time arrive tonight spoke manager davide apologetic kind personally get orders delivered asap understood frustration young daughter hungry cranky continually checked us meal make sure taken care appreciated efforts despite initial tardiness food delivery internal technical error new guidelines place due covid definitely back,love go vapiano two young children toddler infant huge tabl plenti space park buggi lot clean well design babi high chair staff mostli young show enthusiasm want help order took particularli long time arriv tonight spoke manag david apologet kind person get order deliv asap understood frustrat young daughter hungri cranki continu check us meal make sure taken care appreci effort despit initi tardi food deliveri intern technic error new guidelin place due covid definit back,"['love', 'going', 'vapiano', 'two', 'young', 'children', 'toddler', 'infant', 'huge', 'tables', 'plenty', 'space', 'park', 'buggy', 'lots', 'clean', 'well', 'designed', 'baby', 'high', 'chairs', 'staff', 'mostly', 'young', 'show', 'enthusiasm', 'want', 'help', 'order', 'took', 'particularly', 'long', 'time', 'arrive', 'tonight', 'spoke', 'manager', 'davide', 'apologetic', 'kind', 'personally', 'get', 'orders', 'delivered', 'asap', 'understood', 'frustration', 'young', 'daughter', 'hungry', 'cranky', 'continually', 'checked', 'us', 'meal', 'make', 'sure', 'taken', 'care', 'appreciated', 'efforts', 'despite', 'initial', 'tardiness', 'food', 'delivery', 'internal', 'technical', 'error', 'new', 'guidelines', 'place', 'due', 'covid', 'definitely', 'back']","['love', 'go', 'vapiano', 'two', 'young', 'child', 'toddler', 'infant', 'huge', 'table', 'plenty', 'space', 'park', 'buggy', 'lot', 'clean', 'well', 'design', 'baby', 'high', 'chair', 'staff', 'mostly', 'young', 'show', 'enthusiasm', 'want', 'help', 'order', 'take', 'particularly', 'long', 'time', 'arrive', 'tonight', 'spoke', 'manager', 'davide', 'apologetic', 'kind', 'personally', 'get', 'order', 'deliver', 'asap', 'understood', 'frustration', 'young', 'daughter', 'hungry', 'cranky', 'continually', 'check', 'us', 'meal', 'make', 'sure', 'take', 'care', 'appreciate', 'effort', 'despite', 'initial', 'tardiness', 'food', 'delivery', 'internal', 'technical', 'error', 'new', 'guideline', 'place', 'due', 'covid', 'definitely', 'back']"
4,5-Oct-20,NEUTRAL,"brilliant carbonara, awful service",visited couple times best carbonara ever tasted prices extremely reasonable food cooked front see freshly cooked adapt food made portions enough aswell however restaurant completely ruined service system going waiting food cooked work group eating different times extremely confusing explained properly staff extremely inattentive unhelpful walked greeted woman asked walked without telling us sit even saying could choose table explained different counters left work real let food good,visit coupl time best carbonara ever tast price extrem reason food cook front see freshli cook adapt food made portion enough aswel howev restaur complet ruin servic system go wait food cook work group eat differ time extrem confus explain properli staff extrem inattent unhelp walk greet woman ask walk without tell us sit even say could choos tabl explain differ counter left work real let food good,"['visited', 'couple', 'times', 'best', 'carbonara', 'ever', 'tasted', 'prices', 'extremely', 'reasonable', 'food', 'cooked', 'front', 'see', 'freshly', 'cooked', 'adapt', 'food', 'made', 'portions', 'enough', 'aswell', 'however', 'restaurant', 'completely', 'ruined', 'service', 'system', 'going', 'waiting', 'food', 'cooked', 'work', 'group', 'eating', 'different', 'times', 'extremely', 'confusing', 'explained', 'properly', 'staff', 'extremely', 'inattentive', 'unhelpful', 'walked', 'greeted', 'woman', 'asked', 'walked', 'without', 'telling', 'us', 'sit', 'even', 'saying', 'could', 'choose', 'table', 'explained', 'different', 'counters', 'left', 'work', 'real', 'let', 'food', 'good']","['visited', 'couple', 'time', 'best', 'carbonara', 'ever', 'taste', 'price', 'extremely', 'reasonable', 'food', 'cook', 'front', 'see', 'freshly', 'cook', 'adapt', 'food', 'make', 'portion', 'enough', 'aswell', 'however', 'restaurant', 'completely', 'ruin', 'service', 'system', 'go', 'wait', 'food', 'cook', 'work', 'group', 'eat', 'different', 'time', 'extremely', 'confuse', 'explain', 'properly', 'staff', 'extremely', 'inattentive', 'unhelpful', 'walk', 'greeted', 'woman', 'ask', 'walk', 'without', 'tell', 'us', 'sit', 'even', 'say', 'could', 'choose', 'table', 'explain', 'different', 'counter', 'leave', 'work', 'real', 'let', 'food', 'good']"
5,28-Sep-20,NEGATIVE,Delicious food but no attention to detail,restaurant really well located crema di funghi pasta delicious mom pasta king prawns save king prawns pleased worth slightly high price however bother sending chef notes order sister breastfeeding newborn onions pepper spicy food added note order completely ignored ask add chilli pasta added anyway along onions pepper ordered insalata caprese starter simple small portion salad based price expecting something sophisticated ordered sprite sent sprite zero told one sprite sprite zero see nonetheless sell sprite goes per small bottle way pasta dish worth price mom tasty food sister tried eat leave unfortunately give baby colic medication twice night restaurant great potential really good food nice location failing details,restaur realli well locat crema di funghi pasta delici mom pasta king prawn save king prawn pleas worth slightli high price howev bother send chef note order sister breastfeed newborn onion pepper spici food ad note order complet ignor ask add chilli pasta ad anyway along onion pepper order insalata capres starter simpl small portion salad base price expect someth sophist order sprite sent sprite zero told one sprite sprite zero see nonetheless sell sprite goe per small bottl way pasta dish worth price mom tasti food sister tri eat leav unfortun give babi colic medic twice night restaur great potenti realli good food nice locat fail detail,"['restaurant', 'really', 'well', 'located', 'crema', 'di', 'funghi', 'pasta', 'delicious', 'mom', 'pasta', 'king', 'prawns', 'save', 'king', 'prawns', 'pleased', 'worth', 'slightly', 'high', 'price', 'however', 'bother', 'sending', 'chef', 'notes', 'order', 'sister', 'breastfeeding', 'newborn', 'onions', 'pepper', 'spicy', 'food', 'added', 'note', 'order', 'completely', 'ignored', 'ask', 'add', 'chilli', 'pasta', 'added', 'anyway', 'along', 'onions', 'pepper', 'ordered', 'insalata', 'caprese', 'starter', 'simple', 'small', 'portion', 'salad', 'based', 'price', 'expecting', 'something', 'sophisticated', 'ordered', 'sprite', 'sent', 'sprite', 'zero', 'told', 'one', 'sprite', 'sprite', 'zero', 'see', 'nonetheless', 'sell', 'sprite', 'goes', 'per', 'small', 'bottle', 'way', 'pasta', 'dish', 'worth', 'price', 'mom', 'tasty', 'food', 'sister', 'tried', 'eat', 'leave', 'unfortunately', 'give', 'baby', 'colic', 'medication', 'twice', 'night', 'restaurant', 'great', 'potential', 'really', 'good', 'food', 'nice', 'location', 'failing', 'details']","['restaurant', 'really', 'well', 'locate', 'crema', 'di', 'funghi', 'pasta', 'delicious', 'mom', 'pasta', 'king', 'prawn', 'save', 'king', 'prawn', 'please', 'worth', 'slightly', 'high', 'price', 'however', 'bother', 'send', 'chef', 'note', 'order', 'sister', 'breastfeed', 'newborn', 'onion', 'pepper', 'spicy', 'food', 'add', 'note', 'order', 'completely', 'ignore', 'ask', 'add', 'chilli', 'pasta', 'add', 'anyway', 'along', 'onion', 'pepper', 'order', 'insalata', 'caprese', 'starter', 'simple', 'small', 'portion', 'salad', 'base', 'price', 'expect', 'something', 'sophisticated', 'order', 'sprite', 'sent', 'sprite', 'zero', 'tell', 'one', 'sprite', 'sprite', 'zero', 'see', 'nonetheless', 'sell', 'sprite', 'go', 'per', 'small', 'bottle', 'way', 'pasta', 'dish', 'worth', 'price', 'mom', 'tasty', 'food', 'sister', 'try', 'eat', 'leave', 'unfortunately', 'give', 'baby', 'colic', 'medication', 'twice', 'night', 'restaurant', 'great', 'potential', 'really', 'good', 'food', 'nice', 'location', 'fail', 'detail']"
6,27-Sep-20,VERY NEGATIVE,Welp,welp service bad false advertisement drinks e g advertise canned drink gave ml glass bottle paid caprisun sized drink got orders wrong times woooow also asked take away box brought bag currently balancing food head,welp servic bad fals advertis drink e g advertis can drink gave ml glass bottl paid caprisun size drink got order wrong time woooow also ask take away box brought bag current balanc food head,"['welp', 'service', 'bad', 'false', 'advertisement', 'drinks', 'e', 'g', 'advertise', 'canned', 'drink', 'gave', 'ml', 'glass', 'bottle', 'paid', 'caprisun', 'sized', 'drink', 'got', 'orders', 'wrong', 'times', 'woooow', 'also', 'asked', 'take', 'away', 'box', 'brought', 'bag', 'currently', 'balancing', 'food', 'head']","['welp', 'service', 'bad', 'false', 'advertisement', 'drink', 'e', 'g', 'advertise', 'can', 'drink', 'give', 'ml', 'glass', 'bottle', 'pay', 'caprisun', 'size', 'drink', 'get', 'order', 'wrong', 'time', 'woooow', 'also', 'ask', 'take', 'away', 'box', 'bring', 'bag', 'currently', 'balance', 'food', 'head']"
7,16-Sep-20,VERY POSITIVE,Lovely staff members!,staff lovely one staff working exit door helpful came explaining system worked thank alejandra keep good job,staff love one staff work exit door help came explain system work thank alejandra keep good job,"['staff', 'lovely', 'one', 'staff', 'working', 'exit', 'door', 'helpful', 'came', 'explaining', 'system', 'worked', 'thank', 'alejandra', 'keep', 'good', 'job']","['staff', 'lovely', 'one', 'staff', 'work', 'exit', 'door', 'helpful', 'come', 'explain', 'system', 'work', 'thank', 'alejandra', 'keep', 'good', 'job']"
8,16-Sep-20,VERY POSITIVE,Miss,hello went restaurant food delicious really speak english victoria maria helped everything needed lovely,hello went restaur food delici realli speak english victoria maria help everyth need love,"['hello', 'went', 'restaurant', 'food', 'delicious', 'really', 'speak', 'english', 'victoria', 'maria', 'helped', 'everything', 'needed', 'lovely']","['hello', 'go', 'restaurant', 'food', 'delicious', 'really', 'speak', 'english', 'victoria', 'maria', 'help', 'everything', 'need', 'lovely']"
9,23-Aug-20,NEGATIVE,A good host is needed and check backs should be done.,understand covid made everyone life difficult would reopen site plan keeps everyone safe still provides good customer service upon arrival big que started outside social distancing applied even inside permises greeting explanation everything works given unable sit table deciding eat left stand long que next bar kill time decided order drinks apparently vapiano card able order one provided us hand got station order food looked great pasta fresh everything cooked infront makes experience nice food ready sat table cutlery nowhere seen get ask cutlery kept bar food good price reasonable customer service side experience really put make fully enjoy food beautiful location would love come back hope feedback company improve organisation managers present assure customers leave happily,understand covid made everyon life difficult would reopen site plan keep everyon safe still provid good custom servic upon arriv big que start outsid social distanc appli even insid permis greet explan everyth work given unabl sit tabl decid eat left stand long que next bar kill time decid order drink appar vapiano card abl order one provid us hand got station order food look great pasta fresh everyth cook infront make experi nice food readi sat tabl cutleri nowher seen get ask cutleri kept bar food good price reason custom servic side experi realli put make fulli enjoy food beauti locat would love come back hope feedback compani improv organis manag present assur custom leav happili,"['understand', 'covid', 'made', 'everyone', 'life', 'difficult', 'would', 'reopen', 'site', 'plan', 'keeps', 'everyone', 'safe', 'still', 'provides', 'good', 'customer', 'service', 'upon', 'arrival', 'big', 'que', 'started', 'outside', 'social', 'distancing', 'applied', 'even', 'inside', 'permises', 'greeting', 'explanation', 'everything', 'works', 'given', 'unable', 'sit', 'table', 'deciding', 'eat', 'left', 'stand', 'long', 'que', 'next', 'bar', 'kill', 'time', 'decided', 'order', 'drinks', 'apparently', 'vapiano', 'card', 'able', 'order', 'one', 'provided', 'us', 'hand', 'got', 'station', 'order', 'food', 'looked', 'great', 'pasta', 'fresh', 'everything', 'cooked', 'infront', 'makes', 'experience', 'nice', 'food', 'ready', 'sat', 'table', 'cutlery', 'nowhere', 'seen', 'get', 'ask', 'cutlery', 'kept', 'bar', 'food', 'good', 'price', 'reasonable', 'customer', 'service', 'side', 'experience', 'really', 'put', 'make', 'fully', 'enjoy', 'food', 'beautiful', 'location', 'would', 'love', 'come', 'back', 'hope', 'feedback', 'company', 'improve', 'organisation', 'managers', 'present', 'assure', 'customers', 'leave', 'happily']","['understand', 'covid', 'make', 'everyone', 'life', 'difficult', 'would', 'reopen', 'site', 'plan', 'keep', 'everyone', 'safe', 'still', 'provide', 'good', 'customer', 'service', 'upon', 'arrival', 'big', 'que', 'start', 'outside', 'social', 'distancing', 'apply', 'even', 'inside', 'permises', 'greet', 'explanation', 'everything', 'work', 'give', 'unable', 'sit', 'table', 'decide', 'eat', 'leave', 'stand', 'long', 'que', 'next', 'bar', 'kill', 'time', 'decide', 'order', 'drink', 'apparently', 'vapiano', 'card', 'able', 'order', 'one', 'provide', 'us', 'hand', 'get', 'station', 'order', 'food', 'look', 'great', 'pasta', 'fresh', 'everything', 'cook', 'infront', 'make', 'experience', 'nice', 'food', 'ready', 'sit', 'table', 'cutlery', 'nowhere', 'see', 'get', 'ask', 'cutlery', 'keep', 'bar', 'food', 'good', 'price', 'reasonable', 'customer', 'service', 'side', 'experience', 'really', 'put', 'make', 'fully', 'enjoy', 'food', 'beautiful', 'location', 'would', 'love', 'come', 'back', 'hope', 'feedback', 'company', 'improve', 'organisation', 'manager', 'present', 'assure', 'customer', 'leave', 'happily']"
